,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,164.0,0.0,0.0,0.0,1.0,0.0,8.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,167.0,0.0,0.0,0.0,1.0,0.0,10.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,164.0,0.0,0.0,0.0,1.0,0.0,9.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,149.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,151.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,154.0,0.0,0.0,0.0,1.0,0.0,11.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,14.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,12.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,1,15
15,39.0,25.0,53.0,32.0,222.0,5.0,1.0,1.0,4.0,15.95,53.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,1
16,46.0,25.0,60.0,29.0,204.0,5.0,0.0,1.0,4.0,16.48,56.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,2
17,59.0,27.0,79.0,31.0,232.0,5.0,1.0,1.0,5.0,16.96,55.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,3
18,73.0,29.0,100.0,33.0,224.0,5.0,1.0,1.0,10.0,16.96,52.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,4
19,88.0,31.0,121.0,35.0,267.0,6.0,0.0,1.0,9.0,17.92,78.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,5
20,105.0,33.0,145.0,37.0,278.0,5.0,1.0,1.0,13.0,17.92,102.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,6
21,124.0,35.0,172.0,39.0,263.0,5.0,1.0,1.0,16.0,18.48,85.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,7
22,145.0,37.0,201.0,41.0,278.0,6.0,0.0,1.0,21.0,19.44,98.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,8
23,168.0,39.0,229.0,43.0,307.0,6.0,0.0,1.0,24.0,19.92,117.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,9
24,193.0,41.0,263.0,45.0,296.0,6.0,0.0,1.0,29.0,20.48,113.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,10
25,220.0,43.0,294.0,47.0,347.0,5.0,1.0,1.0,31.0,20.96,147.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,11
26,249.0,45.0,331.0,49.0,369.0,6.0,0.0,1.0,36.0,21.92,178.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,12
27,280.0,47.0,370.0,51.0,394.0,6.0,0.0,1.0,41.0,22.48,197.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,13
28,313.0,49.0,410.0,53.0,385.0,5.0,1.0,1.0,46.0,23.44,188.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,14
29,348.0,51.0,453.0,55.0,409.0,6.0,0.0,1.0,50.0,24.0,193.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,2,15
30,119.0,34.0,139.0,42.0,275.0,4.0,0.0,1.0,0.0,17.92,97.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,1
31,117.0,41.0,135.0,49.0,300.0,4.0,0.0,4.0,0.0,18.0,128.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,2
32,222.0,40.0,245.0,48.0,326.0,5.0,1.0,1.0,0.0,20.48,143.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,3
33,255.0,43.0,278.0,51.0,343.0,5.0,1.0,1.0,0.0,21.92,165.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,4
34,256.0,46.0,276.0,54.0,340.0,5.0,0.0,1.0,0.0,21.44,151.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,5
35,278.0,49.0,298.0,57.0,358.0,5.0,0.0,1.0,0.0,23.44,177.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,6
36,339.0,52.0,364.0,60.0,402.0,5.0,1.0,1.0,0.0,27.44,201.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,7
37,320.0,55.0,339.0,63.0,374.0,5.0,0.0,1.0,0.0,26.48,197.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,8
38,344.0,58.0,363.0,66.0,464.0,5.0,0.0,1.0,0.0,26.48,270.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,9
39,368.0,61.0,387.0,69.0,420.0,5.0,0.0,1.0,0.0,27.92,229.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,10
40,395.0,64.0,417.0,72.0,494.0,5.0,1.0,1.0,0.0,15.97,280.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,11
41,420.0,67.0,442.0,75.0,475.0,5.0,1.0,1.0,0.0,17.89,271.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,12
42,444.0,70.0,466.0,78.0,544.0,5.0,1.0,1.0,0.0,17.88,344.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,13
43,468.0,73.0,490.0,81.0,457.0,5.0,1.0,1.0,0.0,18.96,276.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,14
44,492.0,76.0,514.0,84.0,517.0,5.0,1.0,1.0,0.0,19.0,325.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,3,15
45,622.0,79.0,839.0,121.0,778.0,12.0,6.0,42.0,0.0,46.64,549.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,1
46,787.0,77.0,1142.0,121.0,1146.0,73.0,30.0,1.0,0.0,112.61,815.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,2
47,826.0,106.0,1267.0,160.0,1151.0,10.0,5.0,65.0,0.0,96.6,910.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,3
48,1274.0,135.0,1746.0,213.0,2239.0,62.0,2.0,46.0,0.0,46.65,1953.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,4
49,1951.0,76.0,2775.0,107.0,4382.0,13.0,8.0,1.0,0.0,133.59,4025.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,5
50,1239.0,69.0,1551.0,89.0,1800.0,5.0,15.0,1.0,0.0,147.87,1558.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,6
51,1241.0,90.0,1550.0,115.0,1765.0,5.0,15.0,1.0,0.0,150.92,1511.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,7
52,1304.0,82.0,1612.0,107.0,1937.0,5.0,15.0,1.0,0.0,24.32,1666.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,8
53,1381.0,86.0,1652.0,111.0,1935.0,5.0,13.0,1.0,0.0,34.51,1691.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,9
54,3179.0,110.0,4176.0,135.0,9644.0,6.0,34.0,1.0,0.0,82.2,9287.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,10
55,1583.0,89.0,1887.0,109.0,2637.0,5.0,18.0,1.0,0.0,83.36,2388.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,11
56,1785.0,120.0,2144.0,145.0,3140.0,6.0,20.0,1.0,0.0,28.47,2814.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,12
57,1689.0,120.0,1976.0,145.0,2870.0,5.0,18.0,1.0,0.0,107.57,2594.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,13
58,1434.0,106.0,1734.0,131.0,2381.0,7.0,18.0,1.0,0.0,77.1,2068.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,14
59,1846.0,105.0,2153.0,125.0,3324.0,5.0,19.0,1.0,0.0,150.53,3039.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,4,15
60,398.0,118.0,619.0,207.0,733.0,55.0,5.0,1.0,0.0,56.74,467.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,5,1
61,5507.0,681.0,10330.0,1396.0,58895.0,1870.0,183.0,1.0,0.0,102.47,48121.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,5,2
62,2368.0,125.0,3448.0,211.0,8260.0,86.0,8.0,1.0,0.0,116.02,7787.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,5,3
63,16841.0,1104.0,32551.0,2324.0,581060.0,4724.0,283.0,1.0,0.0,171.39,520080.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,5,4
64,,,,,,,,,,,,False,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,5,5
65,4979.0,181.0,7776.0,362.0,44209.0,249.0,30.0,1.0,0.0,136.23,42554.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,6,1
66,3608.0,174.0,5711.0,369.0,24786.0,263.0,9.0,1.0,0.0,144.04,23723.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,6,2
67,,,,,,,,,,,,False,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,6,3
68,9907.0,662.0,16503.0,1547.0,242530.0,1856.0,32.0,181.0,0.0,186.68,232121.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,7,1
69,12861.0,356.0,19610.0,820.0,411201.0,883.0,80.0,1.0,0.0,144.17,403688.0,True,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,7,2
70,,,,,,,,,,,,False,new,experiments/results/DP_2_2/3stepRRu4k/5.onnx,DP,8,1
