,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,17.0,15.0,20.0,18.0,213.0,1.0,0.0,1.0,2.0,12.99,14.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,1
1,19.0,17.0,23.0,21.0,203.0,1.0,0.0,1.0,2.0,13.5,16.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,2
2,21.0,19.0,26.0,24.0,220.0,1.0,0.0,1.0,2.0,14.51,18.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,3
3,23.0,21.0,29.0,27.0,208.0,1.0,0.0,1.0,2.0,14.99,19.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,4
4,25.0,23.0,32.0,30.0,220.0,1.0,0.0,1.0,2.0,15.47,34.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,5
5,27.0,25.0,35.0,33.0,210.0,1.0,0.0,1.0,2.0,14.99,18.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,6
6,29.0,27.0,38.0,36.0,209.0,1.0,0.0,1.0,2.0,15.47,19.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,7
7,31.0,29.0,41.0,39.0,212.0,1.0,0.0,1.0,2.0,14.99,23.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,8
8,33.0,31.0,44.0,42.0,224.0,1.0,0.0,1.0,2.0,15.98,26.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,9
9,35.0,33.0,47.0,45.0,218.0,1.0,0.0,1.0,2.0,16.0,27.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,10
10,37.0,35.0,50.0,48.0,221.0,1.0,0.0,1.0,2.0,16.0,52.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,11
11,39.0,37.0,53.0,51.0,250.0,1.0,0.0,1.0,2.0,16.0,50.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,12
12,41.0,39.0,56.0,54.0,230.0,1.0,0.0,1.0,2.0,16.0,41.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,13
13,43.0,41.0,59.0,57.0,232.0,1.0,0.0,1.0,2.0,16.0,39.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,14
14,45.0,43.0,62.0,60.0,240.0,1.0,0.0,1.0,2.0,16.0,51.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,1,15
15,120.0,85.0,242.0,143.0,319.0,1.0,0.0,1.0,24.0,18.96,113.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,1
16,140.0,101.0,285.0,177.0,332.0,1.0,0.0,1.0,26.0,19.44,128.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,2
17,160.0,115.0,327.0,208.0,359.0,1.0,0.0,1.0,32.0,19.92,131.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,3
18,180.0,131.0,369.0,242.0,400.0,1.0,0.0,1.0,34.0,21.44,190.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,4
19,200.0,147.0,411.0,276.0,376.0,1.0,0.0,1.0,34.0,22.0,147.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,5
20,220.0,165.0,454.0,313.0,396.0,1.0,0.0,1.0,42.0,22.96,169.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,6
21,240.0,179.0,495.0,344.0,388.0,1.0,0.0,1.0,43.0,23.92,185.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,7
22,260.0,195.0,536.0,378.0,419.0,1.0,0.0,1.0,38.0,24.96,188.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,8
23,280.0,211.0,579.0,412.0,409.0,1.0,0.0,1.0,37.0,25.92,179.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,9
24,300.0,227.0,628.0,446.0,448.0,1.0,0.0,1.0,40.0,8.26,208.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,10
25,320.0,243.0,671.0,480.0,482.0,1.0,0.0,1.0,42.0,10.18,247.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,11
26,340.0,259.0,711.0,514.0,549.0,1.0,0.0,1.0,47.0,14.22,315.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,12
27,360.0,277.0,750.0,551.0,571.0,1.0,0.0,1.0,47.0,15.25,317.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,13
28,380.0,291.0,793.0,582.0,491.0,1.0,0.0,1.0,53.0,18.26,246.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,14
29,400.0,307.0,835.0,616.0,598.0,1.0,0.0,1.0,51.0,20.3,348.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,2,15
30,787.0,372.0,2327.0,809.0,732.0,1.0,0.0,1.0,272.0,45.11,447.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,1
31,935.0,455.0,2768.0,1026.0,781.0,1.0,0.0,1.0,313.0,61.09,481.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,2
32,1082.0,526.0,3193.0,1220.0,962.0,1.0,0.0,1.0,364.0,80.09,613.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,3
33,1231.0,604.0,3638.0,1427.0,1029.0,1.0,0.0,1.0,399.0,100.06,650.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,4
34,1378.0,689.0,4069.0,1647.0,1255.0,1.0,0.0,1.0,452.0,123.06,853.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,5
35,1527.0,764.0,4508.0,1848.0,1380.0,1.0,0.0,1.0,484.0,143.11,934.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,6
36,1673.0,840.0,4939.0,2051.0,1751.0,1.0,0.0,1.0,506.0,30.54,1287.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,7
37,1820.0,916.0,5389.0,2255.0,1946.0,1.0,0.0,1.0,576.0,64.07,1470.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,8
38,1970.0,994.0,5841.0,2460.0,1895.0,1.0,0.0,1.0,622.0,90.76,1353.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,9
39,2116.0,1077.0,6287.0,2677.0,2212.0,1.0,0.0,1.0,675.0,124.69,1676.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,10
40,2266.0,1154.0,6758.0,2884.0,2264.0,1.0,0.0,1.0,758.0,28.82,1620.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,11
41,2415.0,1231.0,7162.0,3088.0,2381.0,1.0,0.0,1.0,776.0,64.29,1731.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,12
42,2561.0,1309.0,7553.0,3295.0,2368.0,1.0,0.0,1.0,833.0,104.07,1683.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,13
43,2709.0,1386.0,8010.0,3500.0,2633.0,1.0,0.0,1.0,853.0,140.75,1917.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,14
44,2855.0,1466.0,8409.0,3712.0,2788.0,1.0,0.0,1.0,819.0,52.37,2014.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,3,15
45,4671.0,2489.0,18158.0,7461.0,4103.0,1.0,0.0,1.0,1670.0,100.84,3341.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,1
46,5590.0,3018.0,21681.0,9278.0,4909.0,1.0,0.0,1.0,2190.0,51.03,3908.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,2
47,6508.0,3538.0,25191.0,11087.0,6039.0,1.0,0.0,1.0,2593.0,160.81,4787.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,3
48,7415.0,4074.0,28581.0,12916.0,6422.0,1.0,0.0,1.0,2737.0,43.69,4932.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,4
49,8328.0,4587.0,32040.0,14701.0,7722.0,1.0,0.0,1.0,3055.0,73.71,5895.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,5
50,9255.0,5150.0,35521.0,16602.0,8702.0,1.0,0.0,1.0,3502.0,73.65,6456.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,6
51,10168.0,5655.0,39013.0,18367.0,11343.0,1.0,0.0,1.0,3847.0,84.14,8758.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,7
52,11089.0,6194.0,42552.0,20219.0,11735.0,1.0,0.0,1.0,4131.0,195.48,8848.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,8
53,11995.0,6726.0,46005.0,22038.0,14625.0,1.0,0.0,1.0,4429.0,92.75,11073.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,9
54,12892.0,7281.0,49465.0,23918.0,15040.0,1.0,0.0,1.0,4774.0,140.8,11074.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,10
55,13820.0,7787.0,53052.0,25687.0,17080.0,1.0,0.0,1.0,5218.0,112.8,12651.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,11
56,14751.0,8327.0,56751.0,27538.0,17341.0,1.0,0.0,1.0,5569.0,113.55,12221.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,12
57,15659.0,8869.0,60078.0,29389.0,18665.0,1.0,0.0,1.0,5871.0,84.25,12964.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,13
58,16629.0,9401.0,63987.0,31218.0,22439.0,1.0,0.0,1.0,6627.0,293.23,16021.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,14
59,17544.0,9923.0,67834.0,33017.0,24506.0,1.0,0.0,1.0,7302.0,117.75,17305.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,4,15
60,26217.0,7177.0,127098.0,26138.0,41160.0,1.0,0.0,1.0,9183.0,198.87,36925.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,1
61,31449.0,8691.0,151941.0,32385.0,54117.0,1.0,0.0,1.0,12230.0,210.05,47470.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,2
62,36697.0,10301.0,177098.0,38866.0,62077.0,1.0,0.0,1.0,15016.0,264.04,52698.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,3
63,41906.0,11916.0,201448.0,45358.0,77257.0,1.0,0.0,1.0,16826.0,350.51,64936.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,4
64,47101.0,13492.0,226239.0,51781.0,98095.0,1.0,0.0,1.0,18948.0,286.73,82056.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,5
65,52370.0,15056.0,250970.0,58148.0,112147.0,1.0,0.0,1.0,21283.0,319.84,92552.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,6
66,57554.0,16591.0,276080.0,64464.0,122455.0,1.0,0.0,1.0,23690.0,347.94,98786.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,7
67,62740.0,18216.0,300167.0,70986.0,137609.0,1.0,0.0,1.0,25498.0,365.0,109056.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,8
68,68016.0,19755.0,325808.0,77300.0,164499.0,1.0,0.0,1.0,27600.0,383.84,129620.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,9
69,73160.0,21319.0,349564.0,83664.0,189567.0,1.0,0.0,1.0,29194.0,446.38,150556.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,10
70,78528.0,22921.0,375258.0,90132.0,206173.0,1.0,0.0,1.0,32503.0,484.13,160336.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,11
71,83694.0,24538.0,399813.0,96639.0,241014.0,1.0,0.0,1.0,34524.0,613.0,184720.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,12
72,88971.0,26115.0,425849.0,103054.0,425634.0,1.0,0.0,1.0,36898.0,562.59,351742.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,13
73,94237.0,27648.0,450673.0,109336.0,386458.0,1.0,0.0,1.0,39223.0,612.11,304018.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,14
74,99562.0,29257.0,475302.0,115821.0,321649.0,1.0,0.0,1.0,42460.0,648.4,239658.0,True,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,5,15
75,,,,,,,,,,,,False,new,experiments/results/TA_2_2/pytorch2/29.onnx,TA,6,1
